"Id","IsDeleted","MasterRecordId","AccountId","Salutation","FirstName","LastName","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","OtherLatitude","OtherLongitude","OtherGeocodeAccuracy","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","MailingLatitude","MailingLongitude","MailingGeocodeAccuracy","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","OwnerId","HasOptedOutOfEmail","HasOptedOutOfFax","DoNotCall","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","EmailBouncedReason","EmailBouncedDate","Jigsaw","JigsawContactId","CleanStatus","IndividualId","Level__c","Languages__c","Location__Latitude__s","Location__Longitude__s","Stage__c"
"0032x0000031Lo2AAE","0","","0012x000003sat9AAA","Ms.","Rose","Gonzalez","","","","","","","","","312 Constitution Place Austin, TX 78767 USA","","","","","","","","(512) 757-6000","(512) 757-9000","(512) 757-9340","","","","","rose@edge.com","SVP, Procurement","Procurement","","Trade Show","1968-03-26 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Primary","English","","",""
"0032x0000031Lo3AAE","0","","0012x000003sat9AAA","Mr.","Sean","Forbes","","","","","","","","","312 Constitution Place Austin, TX 78767 USA","","","","","","","","(512) 757-6000","(512) 757-9000","(512) 757-4561","","","","","sean@edge.com","CFO","Finance","","Trade Show","1946-12-23 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Secondary","English","","",""
"0032x0000031Lo4AAE","0","","0012x000003satAAAQ","Mr.","Jack","Rogers","","","","","","","","","","","","","","","","","(336) 222-7000","(336) 222-8000","","","","","","jrogers@burlington.com","VP, Facilities","","","Web","","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","","","","",""
"0032x0000031Lo5AAE","0","","0012x000003satBAAQ","Ms.","Pat","Stumuller","2 Place Jussieu","Paris","","75251","France","","","","2 Place Jussieu","Paris","","75251","France","","","","(014) 427-4427","(014) 427-4428","(014) 454-6364","","","(014) 427-4465","","pat@pyramid.net","SVP, Administration and Finance","Finance","Jean Marie","","","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Primary","French, English","","",""
"0032x0000031Lo6AAE","0","","0012x000003satCAAQ","Mr","Andy","Young","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","(785) 241-6200","","(785) 265-5350","","","","","a_young@dickenson.com","SVP, Operations","Internal Operations","","Purchased List","","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Primary","English","","",""
"0032x0000031Lo7AAE","0","","0012x000003satDAAQ","Mr.","Tim","Barr","","","","","","","","","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1230","","","","","barr_tim@grandhotels.com","SVP, Administration and Finance","Finance","","External Referral","1953-11-20 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Secondary","English","","",""
"0032x0000031Lo8AAE","0","","0012x000003satDAAQ","Mr.","John","Bond","","","","","","","","","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1563","","","","","bond_john@grandhotels.com","VP, Facilities","Facilities","","External Referral","1956-02-01 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Primary","English","","",""
"0032x0000031Lo9AAE","0","","0012x000003satEAAQ","Ms.","Stella","Pavlova","","","","","","","","","1301 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5501","","(212) 842-5543","(212) 842-5589","","spavlova@uog.com","SVP, Production","Production","Audrey Haynes","Public Relations","1943-07-18 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Tertiary","English","","",""
"0032x0000031LoAAAU","0","","0012x000003satEAAQ","Ms.","Lauren","Boyle","","","","","","","","","1301 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5611","","","","","lboyle@uog.com","SVP, Technology","Technology","","Public Relations","1960-08-30 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Secondary","English","","",""
"0032x0000031LoBAAU","0","","0012x000003satFAAQ","Ms.","Babara","Levy","","","","","","","","","620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","","","","","","","","(503) 421-7800","(503) 421-7801","(503) 421-5451","","","(503) 421-6782","","b.levy@expressl&t.net","SVP, Operations","Operations","Ron Sage","Word of mouth","1937-03-03 00:00:00","","0052x000000zN8hAAE","0","0","0","2020-04-13 13:46:10","0052x000000zN8hAAE","2020-06-19 06:09:02","0052x000000zN8hAAE","2020-06-19 06:09:02","","","","","","","","Pending","000000000000000AAA","Primary","English","","",""
